title,date,specimenId,species,sex,abdomenStatus,morphSpecies,morphSex,morphAbdomenStatus,morphNotes,country,district,site,image,yolovConfidenceLevel,imageZoomed,status,latitude,longitude,cityName,deviceInUse,phoneInUse,deviceId,localId,collectionMethod,createdAt,hardware,isCompleted,name,notes,updatedAt
Testing black screen,9/1/23,1,Anopheles other,Female,FF - Fully Fed,,,,,USA,Rhode Island,Site RI,http://137.184.182.201:5005/images/session/image-2023-01-09-16-58-06.863-f5592ae3dbe9b574-1-11.jpg,0.37,No,Desiccated,,,,,,f5592ae3dbe9b574:0e775029-5e30-488b-9dee-c52c092c0fe9,1:11,Pyrethroid Spray Catch (PSC),2023-01-09T16:58:15.450Z,VectorCam V1,FALSE,UserPhil,,2023-01-09T16:58:15.450Z
hshs,9/1/23,1,Anopheles other,Female,G - Gravid,,,,,India,Gujara6,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-45-48.529-835aaf65dbb3fbc1-1-1.jpg,0.82,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,1:01,Human Landing Catch (HLC),2023-01-10T05:46:45.386Z,VectorCam V3,FALSE,Test,,2023-01-10T05:46:45.386Z
TestCase,11/1/23,1,Anopheles funestus,Female,FF - Fully Fed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-16-10-03-43.628-59fc2e35fc8ca340-1-1.jpg,0.79,No,Fresh,21.24037937,72.8710989,Surat,,,59fc2e35fc8ca340:80262e5c-2297-4467-8435-daa2a05528c4,1:01,Human Landing Catch (HLC),2023-01-16T10:03:48.132Z,VectorCam V3,FALSE,Demo Device,,2023-01-16T10:03:48.132Z
Testing black screen,9/1/23,2,Other,Female,FF - Fully Fed,,,,,USA,Rhode Island,Site RI,http://137.184.182.201:5005/images/session/image-2023-01-09-16-58-07.162-f5592ae3dbe9b574-1-12.jpg,0.34,No,Desiccated,,,,,,f5592ae3dbe9b574:0e775029-5e30-488b-9dee-c52c092c0fe9,1:12,Pyrethroid Spray Catch (PSC),2023-01-09T16:58:17.894Z,VectorCam V1,FALSE,UserPhil,,2023-01-09T16:58:17.894Z
hshs,9/1/23,2,Anopheles other,Female,G - Gravid,,,,,India,Gujara6,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-45-48.479-835aaf65dbb3fbc1-1-2.jpg,0.69,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,1:02,Human Landing Catch (HLC),2023-01-10T05:46:44.837Z,VectorCam V3,FALSE,Test,,2023-01-10T05:46:44.837Z
TestCase,11/1/23,2,Anopheles funestus,Female,UF - Unfed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-16-10-03-43.596-59fc2e35fc8ca340-1-2.jpg,0.86,No,Fresh,21.24037937,72.8710989,Surat,,,59fc2e35fc8ca340:80262e5c-2297-4467-8435-daa2a05528c4,1:02,Human Landing Catch (HLC),2023-01-16T10:03:48.333Z,VectorCam V3,FALSE,Demo Device,,2023-01-16T10:03:48.333Z
Testing black screen,9/1/23,3,Other,Female,FF - Fully Fed,,,,,USA,Rhode Island,Site RI,http://137.184.182.201:5005/images/session/image-2023-01-09-16-58-07.318-f5592ae3dbe9b574-1-13.jpg,0.44,No,Desiccated,,,,,,f5592ae3dbe9b574:0e775029-5e30-488b-9dee-c52c092c0fe9,1:13,Pyrethroid Spray Catch (PSC),2023-01-09T16:58:16.270Z,VectorCam V1,FALSE,UserPhil,,2023-01-09T16:58:16.270Z
hshs,9/1/23,3,Anopheles other,Female,UF - Unfed,,,,,India,Gujara6,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-45-48.558-835aaf65dbb3fbc1-1-3.jpg,0.74,Yes,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,1:03,Human Landing Catch (HLC),2023-01-10T05:46:47.003Z,VectorCam V3,FALSE,Test,,2023-01-10T05:46:47.003Z
TestCase,11/1/23,3,Anopheles other,Male,UF - Unfed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-16-10-03-43.700-59fc2e35fc8ca340-1-3.jpg,0.87,No,Fresh,21.24037937,72.8710989,Surat,,,59fc2e35fc8ca340:80262e5c-2297-4467-8435-daa2a05528c4,1:03,Human Landing Catch (HLC),2023-01-16T10:03:48.064Z,VectorCam V3,FALSE,Demo Device,,2023-01-16T10:03:48.064Z
Testing black screen,9/1/23,4,Other,Female,FF - Fully Fed,,,,,USA,Rhode Island,Site RI,http://137.184.182.201:5005/images/session/image-2023-01-09-16-58-07.344-f5592ae3dbe9b574-1-14.jpg,0.44,No,Desiccated,,,,,,f5592ae3dbe9b574:0e775029-5e30-488b-9dee-c52c092c0fe9,1:14,Pyrethroid Spray Catch (PSC),2023-01-09T16:58:17.749Z,VectorCam V1,FALSE,UserPhil,,2023-01-09T16:58:17.749Z
hshs,9/1/23,4,Anopheles other,Female,G - Gravid,,,,,India,Gujara6,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-45-48.601-835aaf65dbb3fbc1-1-4.jpg,0.63,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,1:04,Human Landing Catch (HLC),2023-01-10T05:46:47.866Z,VectorCam V3,FALSE,Test,,2023-01-10T05:46:47.866Z
Testing black screen,9/1/23,5,Other,Female,FF - Fully Fed,,,,,USA,Rhode Island,Site RI,http://137.184.182.201:5005/images/session/image-2023-01-09-16-58-08.154-f5592ae3dbe9b574-1-15.jpg,0.47,No,Desiccated,,,,,,f5592ae3dbe9b574:0e775029-5e30-488b-9dee-c52c092c0fe9,1:15,Pyrethroid Spray Catch (PSC),2023-01-09T16:58:16.809Z,VectorCam V1,FALSE,UserPhil,,2023-01-09T16:58:16.809Z
Testing black screen,9/1/23,6,Other,Female,FF - Fully Fed,,,,,USA,Rhode Island,Site RI,http://137.184.182.201:5005/images/session/image-2023-01-09-16-58-15.648-f5592ae3dbe9b574-1-16.jpg,0.42,No,Desiccated,,,,,,f5592ae3dbe9b574:0e775029-5e30-488b-9dee-c52c092c0fe9,1:16,Pyrethroid Spray Catch (PSC),2023-01-09T16:58:26.664Z,VectorCam V1,FALSE,UserPhil,,2023-01-09T16:58:26.664Z
Phil,10/1/23,6,Culex,Female,G - Gravid,,,,,USA,Rhode Island,Site RI,http://137.184.182.201:5005/images/session/image-2023-01-10-13-44-48.300-f5592ae3dbe9b574-1-5.jpg,0.81,No,Fresh,,,,,,f5592ae3dbe9b574:62d9cf7a-6770-4514-8d9c-f89bfdc135f5,1:05,Pyrethroid Spray Catch (PSC),2023-01-10T13:44:54.019Z,VectorCam V1,FALSE,UserPhil,,2023-01-10T13:44:54.019Z
Testing black screen,9/1/23,7,Other,Female,G - Gravid,,,,,USA,Rhode Island,Site RI,http://137.184.182.201:5005/images/session/image-2023-01-09-15-03-47.468-f5592ae3dbe9b574-1-17.jpg,0.42,No,Desiccated,,,,,,f5592ae3dbe9b574:0e775029-5e30-488b-9dee-c52c092c0fe9,1:17,Pyrethroid Spray Catch (PSC),2023-01-09T15:03:51.867Z,VectorCam V1,FALSE,UserPhil,,2023-01-09T15:03:51.867Z
